position,company,description,numreview,location
Data Scientist - CA,Bind Benefits,"<span id=""job_summary"" class=""summary""><div><p><b>Position Summary</b></p><p>
The Data Scientist will perform analyses of structured &amp; unstructured data to solve multiple &amp; complex business problems utilizing advanced statistical techniques &amp; mathematical analyses &amp; specialized expertise in organization and/or industry. A Bind Data Scientist directs and participates as an active, hands-on member a team of Data Scientists to design, develop, and implement end-to-end cloud based machine learning production pipelines (data exploration, sampling, training data generation, feature engineering, model building, and performance evaluation).</p><p><b>
Location:</b><b> </b>San Francisco<br>
<b>Department:</b><b> </b>Data Science<br>
<b>Reports To:</b><b> </b>Data Science Lead<br>
<b>Employee Status:</b><b> </b>Full-Time, Regular, Exempt</p><p><b>
Responsibilities:</b></p><ul><li>
Ensures that data pipelines are scalable, repeatable, and secure, and can serve multiple users within the company</li><li>
Collects, parses, manages and analyzes and visualizes large sets of data using multiple platforms</li><li>
Codes, tests, and documents new or modified data systems to create robust and scalable applications for data analytics</li><li>
Works with developers to make sure that all data solutions are consistent and ensures all automated processes to preserve data by managing the alignment of data availability and integration processes</li></ul><p><b>
Essential Role Requirements</b><br>
<b><i>Education:</i></b></p><ul><li>
Bachelor's degree in Information Technology, Mathematics, Computer Science, or a related quantitative discipline required.</li><li>
Masters in Statistics preferred.</li></ul><p><b><i>
Required Experience:</i></b></p><ul><li>
Experience working with a team of Data Scientists</li><li>
Experience working with both Structured AND Unstructured data</li><li>
Demonstrated experience with agile or other rapid application development methods</li><li>
Health Care Data Experience required</li><li>
Experience with Medical Claims Data</li><li>
Ability and Experience to write Python code against Health Care Data</li><li>
Experience with developing predictive models using machine learning methods; performing data quality assessment, data integration &amp; transformation in preparation for analytics modeling</li><li>
Extensive knowledge in different programming or scripting languages along with writing / running mark-up data</li><li>
Expert knowledge of data modeling and understanding of different data structures</li></ul><p><b><i>
Preferred Skills:</i></b></p><ul><li>
Experience with any of the following technologies: R, SQL Server, Java, Hadoop, Hive, SPSS Modeler, SPSS Statistics, Jupyter Workbook, HTML</li></ul><p><b>
What is Bind?</b><br>
Bind rewired health benefits to be on-demand. This means people are covered for what they need and have the flexibility to add more coverage if or when they need it. The Bind plan puts the power in people's hands, where it belongs, and allows them to design their health benefits coverage on-the-go, based on their life and needs.</p><p>
The Bind app and website lets people see the total cost of care, and what their copays will be, well in advance of getting treated. No more confusing coinsurance and deductible formulas; Bind keeps things clear and simple.</p><p><b>
Why Bind?</b><br>
We believe a career at Bind should provide competitive pay and benefits, a collaborative and supportive work environment, plus<br>
cutting-edge technology and services that focus on innovation and scale - more reasons to love it here.</p></div></span>",,"San Francisco, CA 94103"
Staff Data Scientist,Course Hero,"<span id=""job_summary"" class=""summary""><b>The Role:</b><br>
We are looking for an experienced Staff Data Scientist to join us and drive growth and evolution of our product. You will work with big data sets, using deep statistical models to drive actionable insights and tackle high impact business problems. Leveraging your expertise in stats and data science, as well as your business acumen and creative mind, you will be telling the story behind your insights. You’ll be painting a picture to our functional partners, and explain to them what the numbers are telling us, why it matters to them, and recommend product changes, new features, and A/B tests for implementation. You can expect to spend 80% of your time individually driving analyses and insights, and the other 20% mentoring other data scientists.
<br><br>
<b>The Team:</b><br>
The analytics team at Course Hero is central to our functional organization, and heavily influences the strategy and tactics of our company’s roadmap. The analytics team is rapidly growing in order to generate more and more analytical insights to fuel Course Hero’s growth while giving directions to our product strategy. We are also constantly improving and innovating ways that Course Hero can use data to drive growth and strategic initiatives.
<br><br>
<b>Here are some ways you’ll make an impact:</b><br>
<ul>
<li>You'll lead and work with members of the Analytics team to deliver data insights that help product owners make better business decisions and strategies.</li>
<li>You'll mine structured and unstructured data platforms to understand customer attributes, engagement with the products, and growth opportunities for our business. You’ll help model complex relationships in the presence of many confounding factors.</li>
<li>You’ll be able to come up with quick hypotheses on the fly to diagnose and explain trends in our growth rate. You’ll also be able to build diagnostic frameworks to come up with more scalable ways of answering business questions about trends in growth rate.</li>
<li>You’ll design innovative A/B testing techniques.</li>
<li>You’ll optimize the true impact of a test by segmenting millions of interconnected users and using a sound methodology to interpret test results in the face of such extensive interconnection.</li>
<li>You’ll work on predictive modelling problems everywhere across our product. You’ll design and implement machine learning models to support Course Hero products.</li>
<li>You'll conduct deep-dive analyses and investigations to understand customer experience including touch points, cross-channel behaviours, drivers, preferences and segmentation.</li>
<li>You'll proactively identify opportunity areas and propose strategic initiatives and goals to help our functional partners to achieve their goals and drive growth</li>
<li>You'll effectively communicate data findings to internal and external team members</li>
<li>You'll be an integral part of our team and continue to build on our collaborative culture</li>
<li>You'll always be looking for ways to improve the status quo and raise the standards of our team</li>
</ul>
*
<br><br>
Are you Our Star Staff Data Scientist?
<br><br>
<ul>
<li>You have 7-10 years of working experience in data science or analytics. Research experience gained during a doctoral program will be considered.</li>
<li>You have a MS or PhD degree in a scientific or quantitative field.</li>
<li>You have a deep understanding of data science and statistical analyses. You have experience building mathematical algorithms and machine learning models using tools like R, Python, Matlab, or Stata.</li>
<li>You have experience using common data mining and visualization techniques</li>
<li>You are proficient in SQL and have experience working with large datasets</li>
<li>You have experience managing or mentoring other data scientists</li>
</ul>
<b>Bonus Points:</b><br>
<ul>
<li>You have knowledge and experience working with Google Analytics, Tableau, Amplitude, and Treasure Data</li>
<li>You have experience working in education or e-commerce domain</li>
</ul>
What We Offer You
<br><br>
<ul>
<li>Industry competitive salary and stock options</li>
<li>Full coverage (medical, dental, vision, and life)</li>
<li>401(k) program to help you save for the future</li>
<li>Educational assistance program to support lifelong learning</li>
<li>Commuter benefits, cell-phone allowance, and a free gym membership</li>
<li>Regularly planned team outings and company events</li>
<li>Free weekly and discounted lunches, plus an endless snack and drink supply</li>
<li>Opportunity to make a meaningful impact in a revolutionary space</li>
</ul>
<b>About Us:</b><br>
Course Hero envisions a world where every student graduates, confident and prepared. We are a privately held, mission-driven educational technology company that is profitable and growing. We’re building the optimal learning destination for every college course. Course Hero students can access over 20 million course-specific study materials and study resources to enhance their supplemental and deep learning experiences. We see more students that are confident and prepared when they can quickly find what they need and learn deeply.
<br><br>
At Course Hero, we have an awesome team and a really engaging culture. We are customer-focused, collaborative, responsible, gritty and we love to learn!
<br><br>
We’re not the only ones that think we’re onto something big. Course Hero has been recognized as one of the250th Fastest Growing Company in North America ( https://www.prnewswire.com/news-releases/course-hero-ranked-250th-fastest-growing-company-in-north-america-on-deloittes-2017-technology-fast-500-300553955.html ) on Deloitte’s 2017 Technology Fast 500 and also 2018’s One of the Best Places to Work in the Bay Area ( https://www.bizjournals.com/sanfrancisco/feature/best-places-to-work/2018/best-places-to-work-bay-area-2018-top-workplaces.html ) by San Francisco Business Times and Silicon Valley Business Journal.
<br><br>
Read up on some of our recentnews coverage ( https://www.coursehero.com/press-room/ ), blog ( https://www.coursehero.com/blog/category/course-hero-news/ ), and learn moreabout us ( https://www.coursehero.com/about-us/ ) to understand what it is like to work on our team.</span>",19 reviews,"Redwood City, CA"
Data Scientist,CyberCube Analytics,"<span id=""job_summary"" class=""summary"">CyberCube delivers the most comprehensive cyber insurance analytics platform for the insurance industry.
<br><br>
We are solely focused on solving the hardest cyber risk challenges with world-class analytics. Our team is composed of multi-disciplinary experts across data science, cyber security, software engineering, modeling and commercial insurance. CyberCube offers products for cyber risk aggregation modeling and insurance underwriting. CyberCube leverages the threat intelligence from the world’s leading cyber security company, Symantec, along with several other data sources.
<br><br>
CyberCube is headquartered in San Francisco, California. We are backed by Symantec Ventures and Trident Capital Cybersecurity (TCC) – the world’s largest venture capital fund dedicated to cybersecurity early stage investing.
<br><br>
Role
<br>As a Data Scientist, you will join our growing analytics &amp; engineering teams to work on the unique cyber security data layer underlying our SaaS products. You will help build analytical models and solutions to help CyberCube Analytics products users make better data-driven decisions. This is a cross functional position with significant exposure and responsibility. This is a full-time position based in our headquarters in downtown San Francisco, California.
<br><br>
Responsibilities
<br><ul>
<li>Gather and process data at scale (scripts, scraping, APIs, database queries, etc.)</li>
<li>Work closely with products, analytics, and engineering team members</li>
<li>Design and build new analytical data models and/or enhance existing data models</li>
<li>Develop and implement machine learning algorithms at scale (supervised learning, unsupervised learning incl. feature extractions and PCA techniques, deep learning, etc.)</li>
<li>Prepare static and dynamic data visualizations for use in internal and external contexts</li>
<li>Assist in creating and maintaining SaaS applications</li>
</ul>
Skills
<br><ul>
<li>Self-starter able to work well independently as well as in various team settings</li>
<li>Intellectual curiosity, willingness to learn new skills, and ability to contribute ideas</li>
<li>Excited by mathematical problems / coding challenges</li>
<li>Excellent organizational and time management skills</li>
<li>Eager to work in an agile environment</li>
<li>An analytical mindset with problem-solving skills</li>
<li>Excellent communications and presentation skills</li>
</ul>
Key Qualifications
<br><ul>
<li>Bachelor’s or master’s degree in computer science, statistics, mathematics, or related field</li>
<li>At least 4 years in a data scientist or equivalent role</li>
<li>In-depth knowledge of machine learning algorithms and statistical modeling methods</li>
<li>Experience in relational database and knowledge of SQL</li>
<li>Excellent Python programming skills and experience with major data science libraries (Pandas, Numpy, Seaborn, Keras, TensorFlow, NLTK, etc.)</li>
<li>Experience working with flat files, complex data types (JSON, XML, etc.), and APIs</li>
</ul>
Bonus Points
<br><ul>
<li>Experience working in one or more of the following industries: cyber / data security, insurance, finance / risk modeling, consulting</li>
<li>Portfolio of public and private data science projects you’re proud of (GitHub, Kaggle, DrivenData, etc.)</li>
<li>Experience in startup environments</li>
<li>Experience working on quantitative software products</li>
<li>Familiar with Spark, Hadoop, and non-relational data stores (MongoDB, Neo4j, etc.)</li>
</ul>
Why You’ll Love It Here
<br><ul>
<li>Play an instrumental role in reshaping one of the oldest industries in the world</li>
<li>Competitive salary, 401 (k), unlimited PTO, and meaningful early stage equity</li>
<li>Generous healthcare benefits with medical, dental and vision coverage</li>
<li>Fully stocked kitchen with healthy snacks and Ugly Juice for your enjoyment</li>
<li>Weekly catered lunches, happy hour, and discounted gym passes</li>
<li>Company paid learning and development assistance</li>
<li>Grow in a collaborative, respectful, and empathetic culture</li>
</ul>
CyberCube Analytics, Inc. is an equal opportunity employer. We don’t tolerate discrimination against age, gender, gender identity, gender expression, sexual orientation, race, color, nationality, ethnicity, religion, disability, veteran status, protected genetic information or political affiliation.</span>",,"San Francisco, CA"
Data Scientist - Biostatistics,The Climate Corporation,"<span id=""job_summary"" class=""summary""><div><p><b>Position Overview:</b></p><p>
The Climate Corporation’s mission is to help the world’s farmers sustainably increase their productivity with digital tools. We are looking for a biostatistician with strong data analysis and modeling skills to join an interdisciplinary team of scientists. We apply big data and cloud computing in concert with some of the richest agronomic datasets in the world including weather data, environmental sensors, soil measurements, and disease observations as well as satellite and UAV imagery. You will help build robust predictive models for the spread of plant diseases and their impact on plant health, yield, and profitability, in order to help farmers make better informed management decisions. Candidates with substantially deeper experience may be hired at a more senior level. If you are interested in applying your skills in data wrangling and biostatistics to help farmers, The Climate Corporation would love to talk to you!</p><p><b>
What You Will Do:</b></p><ul><li>
Lead research projects to create curated datasets, develop new disease models, and develop statistically robust experimental designs to validate models in the real world</li><li>
Apply spatio-temporal statistics, machine learning, mechanistic models, survival analysis, natural language processing, and other approaches to continuously improve our models</li><li>
Collaborate closely with atmospheric scientists, plant pathologists, epidemiologists, physical scientists, software engineers, product managers, and designers to design and build products that delight our customers</li><li>
Mentor other scientists through direct collaboration on projects, code and paper review, and acting as a consultant as needed</li><li>
Clearly communicate program direction and results to stakeholders in various parts of the organization, including science, engineering, business strategy, and product<br>
<br>
</li></ul><p><b>Basic Qualifications:</b></p><ul><li>
M.S. +2 years of experience or Ph.D. in biostatistics, epidemiology, or another highly quantitative applied discipline</li><li>
Applicant must demonstrate experience in applying statistical and/or machine learning techniques to real-world problems</li><li>
Ability to write well-structured, easily maintainable, and well-documented code</li></ul><p><b>
Preferred Qualifications:</b></p><ul><li>
Experience with application of statistics to applied environmental or epidemiological problems</li><li>
Experience working with big, messy datasets and deriving inferences from them</li><li>
Desire to continuously improve on coding skills, including through code review with peers</li><li>
Strong drive to learn new topics and skills, to develop innovative products for our customers, and build whatever is necessary along the way</li><li>
Desire and ability to communicate and collaborate as a member of an agile, interdisciplinary team</li><li>
Problem solving skills to develop quick yet sound solutions to resolve complex issues</li><li>
Coding skills in Python, R, or similar</li></ul><br>
<p><b>
What We Offer:</b></p><p>
Our teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for our customers.</p><p>
We provide competitive salaries and some of the best perks in the industry, including:</p><ul><li>
Superb medical, dental, vision, life, disability benefits, and a 401k matching program</li><li>
A stocked kitchen with a large assortment of snacks &amp; drinks to get you through the day</li><li>
Encouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used</li><li>
We take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development</li></ul><p>
We also hinge our cultural DNA on these five values:</p><ul><li>
Inspire one another</li><li>
Innovate in all we do</li><li>
Leave a mark on the world</li><li>
Find the possible in the impossible</li><li>
Be direct and transparent</li></ul><p>
Learn more about our team and our mission:</p><p>
The Climate Corporation - The Technology Behind Making A Difference</p><p>
https://youtu.be/c5TgbpE9UBI or visit https://climate.com/careers<br>
<br>
#LI-TD1</p></div></span>",11 reviews,"San Francisco, CA"
Data Scientist,LendUp,"<span id=""job_summary"" class=""summary"">LendUp builds technology, credit products, and educational experiences for the 56% of the adults in the US, who are currently shut out of mainstream banking because of poor credit or volatile income. That’s a lot of hardworking, deserving people who we believe did not have good options, until now.
<br><br>
Our mission is to provide anyone with a path to better financial health. Being a socially responsible, machine learning-enabled financial services company is a big job, but we’re driven by the challenge. Now in our sixth year, we’re growing each and every day as we continue to bring our mission to life. Join our passionate team and help us turn our mission into a movement.
<br><br>
LendUp is headquartered in downtown San Francisco with an office in Richmond, VA. We’re backed by prominent Silicon Valley investors including Y-Combinator, Google Ventures, PayPal, Susa Ventures, Data Collective, Kleiner Perkins, Andreessen Horowitz Seed Fund, Kapor Capital, QED, Eagle Cliff Investors, Thomvest Ventures, Alexis Ohanian, Troy Carter, and many others.
<br><br>
<b>About the role:</b><br>
You’ll power decisions at the core of LendUp on lending, growth, operations, and more. We want you to apply the best machine learning techniques to Lending, and help us find a way to help the tens of millions of Americans banks won’t lend to.
<br><br>
<b>You will:</b><br>
<ul>
<li>Apply advanced machine learning models and statistical techniques.</li>
<li>Work on every aspect of the problem: data munging, feature engineering, modeling, evaluation launching models to production, and monitoring.</li>
<li>Work collaboratively with our credit and growth teams to drive end-to-end implementation.</li>
<li>Learn from some of the smartest and most experienced data scientists and engineers in the world.</li>
</ul>
<b>You have:</b><br>
<ul>
<li>A good understanding of statistical methods and machine learning.</li>
<li>Proficiency in Python, Java, or similar.</li>
<li>A background in statistics and machine learning.</li>
<li>Previous experience in a data science role.</li>
<li>Analytical thinking, driven to learn fast, be creative, and win as a team.</li>
</ul>
<b>We have:</b><br>
LendUp has all of the things you’d expect, like a competitive salary; early stage equity; 100% company paid medical, dental and vision insurance; generous vacation/sick leave policy; catered, free lunch; fully stocked kitchens with free healthy snacks; free onsite gym; and a 401(k) program.
<br><br>
<b>But here’s what we really love about life at LendUp:</b><br>
<ul>
<li>We are driven by having a lasting impact on the world and knowing that our time is spent positively impacting the lives of others. We are strategists and doers, because we know that both matter when it comes to achieving our lofty mission.</li>
<li>One of our values is Different Backgrounds, Same Mission. We’re committed to a diverse and inclusive culture that spurs innovation and creates a meaningful and impactful work environment. We are passionate participants in our employee resource groups (LeanIn, LGBTQ &amp; Allies, and Black Ladders) and have Slack channels dedicated to everything from philosophy to sports to hip-hop.</li>
<li>We have fun together at our weekly happy hours, quarterly team building events, company-sponsored volunteerism, hackathons, and sports teams.</li>
<li>Our dog-friendly SF office.</li>
</ul>
LendUp is an Equal Opportunity Employer
<br><br>
We extend equal employment opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition, or any other reason protected by law.</span>",,"San Francisco, CA"
Data Scientist,Juvo,"<span id=""job_summary"" class=""summary""><b>Juvo was founded with an overarching mission:</b> to establish financial identities for the billions of people worldwide who are creditworthy, yet financially excluded. In partnership with mobile network operators, Juvo’s proprietary Identity Scoring technology uses data science, machine learning and game mechanics to create an identity-based relationship with anonymous prepaid users, opening up access to otherwise unattainable mobile financial services.
<br><br>
Since emerging from stealth in September 2016, Juvo has increased its global reach five times over, from 100 million to 500 million, and has steadily grown its operations and employee base worldwide with 70 employees today. To date, Juvo has enabled over 400M transactions in 25 countries and 4 continents, with 1M active subscribers a day. Juvo’s mobile operator partners include Telefonica, Millicom, Sprint, Duetsche Telekom and Cable &amp; Wireless.
<br><br>
In 2017, Juvo completed a $40 million USD Series B funding round with funding from Samsung NEXT and top-tier VCs including NEA, Wing Venture, and Freestyle Capital. Early investors in the company include the former CEOs of AT&amp;T Wireless, NYSE, Sprint, Telefonica International and Vodafone Group. Juvo is frequently profiled in top tier tech and business press and our proprietary technology, Identity Scoring, is award winning.
<br><br>
About the Job
<br>-------------
<br><br>
We are looking for a talented Data Scientist to help Juvo convert user data into personalized credit scores. You will play a central role not only in ensuring Juvo’s success, but improving the financial landscape of millions, if not billions of people. As you lead key Data Science and platform initiatives, you will play a major role in the planning and construction of Juvo’s technical stack.
<br><br>
Qualifications
<br>--------------
<br><br>
<ul>
<li>MS/PhD in a quantitative field e.g., Physics, Astronomy, Chemistry, CS, Math or have worked in Data Science, Quantitative Research or Software Development for 5 years.</li>
<li>Comfortable in Unix computing environments and have a handful of your favorite BASH tricks. You are fluent in one or more of the following programming languages: Python, Scala, R, Java.</li>
<li>Familiar with distributed computing frameworks such as Hadoop, Spark, Hive.</li>
<li>You know your way around AWS and regularly use one or more of their services e.g., S3, EC2, EMR, Redshift, DynamoDB, Kinesis, etc.</li>
<li>You like working in a fast-paced collaborative environment where the mantra is to push to master, make sure it makes sense...and doesn't break!</li>
</ul>
</span>",,"San Francisco, CA"
Data Scientist,Thumbtack,"<span id=""job_summary"" class=""summary"">Have you ever tried to hire a plumber? How about a house cleaner? If you have, chances are it took you way longer than it should. In the era of instant-everything, it’s crazy that you still have to waste an entire afternoon researching, calling and vetting local service professionals whenever you need one. The market for hiring them is huge — $700B in the US alone — but the process is inefficient and largely offline.
<br><br>
Thumbtack is transforming this experience end-to-end, building a marketplace that matches millions of people with local pros for almost any project. In making these connections, not only do our customers get more done every day, our pros are able to grow their businesses and make a living doing what they’re great at.
<br><br>
---------------------------
<br>About the Data Science Team
<br>---------------------------
<br><br>
At Thumbtack, the Data Science team combines large-scale data with machine learning to shape our product that serves millions of customers and professionals. Along the way, we leverage cutting-edge data and machine learning infrastructure built on TensorFlow, Spark and BigQuery.
<br><br>
On Data Science, our focus is on the data problems that reside at the core of our marketplace. These include problems like matching customers to pros, pricing, ranking, supply &amp; demand management, detecting spam, and a variety of natural language processing tasks.
<br><br>
--------------
<br>About the Role
<br>--------------
<br><br>
As a Data Scientist, you will partner with a large cross-functional group of engineers, product managers and other data scientists to solve some of the most challenging data science problems we face at Thumbtack.
<br><br>
We're looking for data scientists with deep expertise in machine learning, statistics, optimization, and/or building data products. Our process gives you full ownership over the projects you tackle, so you should be a person who dreams big, then executes well.
<br><br>
----------------
<br>Responsibilities
<br>----------------
<br><br>
<ul>
<li>Play a key role in architecting anding deploy machine learning systems to production</li>
<li>Analyze a wide variety of data: structured and unstructured, observational and experimental, to drive system designs and product implementations</li>
<li>Design and execute experiments, collect and analyze test data to guide launch decisions</li>
<li>Advise engineering and product teams on product modeling problems and statistical practices</li>
</ul>
------------------------
<br>Must-Have Qualifications
<br>------------------------
<br><br>
<ul>
<li>M.S. or equivalent experience in Computer Science, Engineering, Statistics, or other relevant technical field</li>
<li>2+ years of industry experience</li>
<li>Strong knowledge of machine learning techniques, including regression/classification, optimization.</li>
<li>The ability to connect technical work to product impact in a cross-functional team</li>
<li>Expert knowledge of a statistical computing language such as Python or R</li>
<li>Knowledge of probability and statistics, including experimental design, predictive modeling, optimization, and causal inference</li>
<li>Excellent written and verbal technical communication skills</li>
</ul>
---------------------------
<br>Nice-to-Have Qualifications
<br>---------------------------
<br><br>
<ul>
<li>Experience in Deep Learning</li>
<li>Experience in NLP</li>
<li>Experience productionizing machine learning models and/or large-scale distributed systems</li>
<li>Experience with Spark, TensorFlow and Keras</li>
<li>Advanced degree in Computer Science, Engineering, Statistics, or other relevant technical field</li>
</ul>
</span>",36 reviews,"San Francisco, CA"
Machine Learning Research Scientist - Investment Management,Sentient Investment Management,"<span id=""job_summary"" class=""summary""><div><p>We are seeking an exceptional <b>Machine Learning Research Scientist</b> to join our investment strategy research team. You will participate in cutting edge research in artificial intelligence and help build AI solutions to improve and expand our existing portfolio of proprietary investment strategies.</p><p><b>
About you:</b></p><ul><li>
A PhD in machine learning or closely related field</li><li>
10+ years of post-PhD work</li><li>
Mathematical fluency</li><li>
The ability to write clean, functioning code</li><li>
An urgency to create and release products</li><li>
Excellent written and verbal communication skills</li><li>
Successful experience in utilizing machine learning in different fields or business industries to deliver improvements in prediction, decision making or productivity. Previous financial industry a plus, but not required.</li></ul><p><b>
 Highly Desirable:</b></p><ul><li>
Extensive knowledge in deep learning, natural language processing, signal processing, graphical models, computer vision, and/or speech recognition.</li><li>
Strong understanding of algorithm performance, scalability, and implementation details.</li></ul><p><b>
And, of course, the perks!</b></p><ul><li>
Take-as-you-need vacation!</li><li>
10 company holidays</li><li>
Tons of snacks and beverages</li><li>
Catered educational lunches every Tuesday</li><li>
Catered lunch every Friday</li><li>
Bagels on Monday</li><li>
Super-convenient location near BART, Caltrain, Muni, Ferries</li><li>
Team Events, Happy Hours, Holiday Parties, more.</li></ul></div></span>",,"San Francisco, CA"
Data Scientist - Strategic Finance,Uber,"<span id=""job_summary"" class=""summary""><div><div><b>About Uber
</b></div><br>
<div>We’re changing the way people think about transportation. Not that long ago we were just an app to request premium black cars in a few metropolitan areas. Now we’re a part of the logistical fabric of more than 600 cities around the world. Whether it’s a ride, a sandwich, or a package, we use technology to give people what they want, when they want it.</div><br>
<div>
For the people who drive with Uber, our app represents a flexible new way to earn money. For cities, we help strengthen local economies, improve access to transportation, and make streets safer.</div><br>
<div>
And that’s just what we’re doing today. We’re thinking about the future, too. With teams working on autonomous trucking and self-driving cars, we’re in for the long haul. We’re reimagining how people and things move from one place to the next.</div>
<div><b>About the role:</b></div><br>
<div>
The quantitative research team within Strategic Finance is looking for entry/mid level data scientist in the field of econometrics, time series analysis and machine learning to help with modeling work related to rider/driver elasticity, understanding supply-demand relationships and much more. You will be working with team of data scientists responsible for providing insights to the finance leadership to make financial decisions. This is a unique opportunity to apply your math skills in growing Uber and having a direct impact on building an efficient transportation system.</div><br>
<div>
The perfect candidate for this role is someone with a highly analytical background and at the same time has the ability to communicate the results to folks in finance, operations, etc. This role will be working very closely with company executives. Prior experience or a desire to work with executives is a plus.</div><br>
<div><b>
What you'll do:</b></div><br>
<ul><li>
Develop mathematical models related to pricing optimization that will scale across major cities in which we operate</li><li>
Spend time researching state of the art techniques and implementing them</li><li>
Collaborate across the organization to iterate on forecasts and provide transparency for key business decisions</li><li>
Day to day activities involve pulling data from warehouse, back-testing the model, comparing the model performance and communicating the results</li></ul><br>
<div><b>
What you'll need:</b></div><br>
<ul><li>
PhD in Applied Maths, Operations Research, Computer Science, Engineering, Computational Finance or Economics. MS graduates with 3 years experience can also apply.</li><li>
Strong coding experience in one (or more) scientific programming languages like Python/R.</li><li>
Knowledge of object-oriented programming paradigm is a plus. If you have experience with majorprogramming language [Java, C++], its even better!</li><li>
Strong background in stochastic modeling, regression, time series analysis and techniques like PCA etc.</li><li>
Experience developing scalable mathematical models and solving complex quantitative problems.</li><li>
Be able to translate the model into a story to major stakeholders. As a data scientist, being able to explain your model to wide variety of audience is a key.</li><li>
Experience with databases and data pulling tools (SQL, SQL Server, Vertica).</li><li>
Experience with Git (share your github, stackoverflow, statexchange pages!).</li><li>
Willingness to adapt in fast-paced work environment; is a strong team player</li></ul><ul><li>
Employees are showered with Uber credits each month</li><li>
The rare opportunity to change the world such that everyone around you is using the product you built. We’re not just another social web app, we’re moving real people and assets and reinventing transportation and logistics globally</li><li>
Sharp, motivated co-workers in a fun office environment</li></ul></div></span>",496 reviews,"San Francisco, CA 94103"
Data Scientist - Insurance,Blue Owl,"<span id=""job_summary"" class=""summary""><div><div><div>A million people a year die in car collisions around the world and we want that number to be zero. We invite you to help us build an InsurTech company that uses rich customer insights, advanced technology and data science to save lives by preventing car collisions before they happen. To this end, we recently helped launch our first product, hiroad.com, a cloud native insurance solution that rewards people for the act of driving well.</div><br>
<div>
With impressive funding, a compelling vision, and a world-class team, we're poised to re-engineer a trillion-dollar category from the ground up- and that's just where we're beginning. Longer term, we're out to change behavior and promote mindful living at a societal level.</div><div><br>
</div><div>
We're seeking someone to build and support critical backend systems and services that are core to our business. This includes the rewards system that will be used to increase driver safety, designing APIs, creating/managing databases, and writing automated test suites.</div><div><br>
</div><div>
General tools you build will be open sourced and will ideally be consumed by the greater community.</div></div>
<div><div><h3 class=""jobSectionHeader""><b>Job requirements</b></h3><div><ul><li>
This role will require the candidate to be extremely hands on with building models and data driven tools. Past experience implementing complex data-driven solutions is required.</li><li>
Advanced Python skills. Should be familiar with Python’s scientific computing ecosystem.</li><li>
Advanced SAS skills. Should be familiar with SAS best practices.</li><li>
Deep experience with GLMs as well as modern machine learning methods.</li><li>
Actuarial science is a plus, but is not required.</li></ul></div></div></div>
<div><div><h3 class=""jobSectionHeader""><b>More details</b></h3><div><ul><li>
Salary: We invest in first-rate people and pay top-of-market salaries for most positions, factoring in experience and talent. We are unable to offer equity.</li><li>
Benefits: Full medical, dental, vision coverage, 401k, daily catered lunch, wellness reimbursement &amp; on-site shower, four weeks of vacation, six weeks of parental leave, panoramic views, and more.
</li><li>Location: Near Montgomery Street BART station, San Francisco, California. Locals preferred, but relocation within the US considered for outstanding candidates.</li></ul></div></div></div>
<div><div><i>All are welcome at Blue Owl. We are an equal opportunity and affirmative action employer who values diversity and inclusion and looks for applicants who understand, embrace and thrive in a multicultural world. We do not discriminate on the basis of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.</i></div></div></div></span>",,"San Francisco, CA"
