"","position","company","description"
"1","Data Scientist","mckesson","RelayHealth Pharmacy Solutions (RHPS), a McKesson connectivity business, manages the nation＊s largest pharmacy network, providing essential healthcare connectivity between more than 50,000 U.S. retail pharmacies and key healthcare stakeholders including physicians, health plans, pharmacy benefit managers (PBMs), government agencies and pharmaceutical manufacturers. Processing more than 17 billion healthcare transactions annually we play a key role in helping all healthcare providers streamline operational efficiency, improve medication accessibility and adherence and deliver value-added, cost effective clinical services that improve patient health and outcomes.

We understand the importance of a system that works together. Your expertise, drive and passion can help us carry out our mission to improve lives and advance healthcare.

Join our team of leaders to begin a rewarding career.

Current Need

McKesson's RelayHealth Pharmacy division has an opening for a Data Scientist in our Atlanta, GA North Druid Hills office.

Position Description

The data scientist will support the Sales, Product, Account Management and customers through the use of statistical models and visualizations. The Data Scientist will work closely with the Sales/Account Management and Product teams to understand their challenges and work to help them solve issues using data and interpretation of data. The team member will also be in charge of delivering standard sales models to the sales team. The individual will then build and maintain models that help with the execution and support of the various offerings at RelayHealth. It will be critical for this individual to be highly analytical but also be able to communicate the results and methodology effectively to all levels of the organization
Responsibilities
Develop and Improve current models used in the sales cycleDevelop new models and visualizations for new productsChallenge the status quo to drive improvement in processesDocument processes in the creation of modelsDeliver ad-hoc analysis requestsWork with Account Management, Sales and Product ManagementProcess Sales modelsManage Government exclusion data investigations

Qualifications


Minimum Requirements
Minimum of 2 years related experience

Critical Skills
Minimum of 2 years of experience using advanced analytical techniques to solve business problems
SQL LanguageAdvanced Microsoft ExcelStatistics or Mathematics experienceData MiningAbility to recognize and analyze trendsAbility to convey requirements to a technical and non-technical audienceAbility to communicate with a wide range of audiences, from executives who need the big picture to expert peers that want to learn from your workAbility to mine unstructured data

Additional Knowledge &amp; Skills
Excellent communication skills both verbal and written, to include interviewing internal and external parties including the ability to interview SME's and gather information to develop a solution
Resourceful and able to troubleshoot problems and work with required groups to resolve problemsPrepares and manipulates data for use in the development of statistical modelsHandles routine requests/projects and assists with more complex statistical/business/research issues and studiesExcellent project and time management skills to successfully navigate and complete multiple projects with multiple deadlines and stakeholdersInnovative with the ability to conceptualize and develop ideas and visionIndependent and a self-starterGreat intuition, curiosity, and skepticism when analyzing data

Education
Degree in Computer Science, Mathematics, Statistics, Engineering, or another relevant area or equivalent experience

Benefits &amp; Company Statement
We believe you should be rewarded for the important work you do. For that reason, you'll receive a competitive compensation and benefits package when you join our team.

It starts with you. That's a simple sentence but it says a lot. It reminds each one of us that what we do matters. Every single McKesson employee contributes to our mission - whatever your title, whatever your role, you act as a catalyst in a chain of events that helps millions of people all over the globe. By connecting and improving the business of healthcare, we're helping to ensure that millions of patients get the treatment they need. And by choosing a career with McKesson Pharmacy Systems &amp; Automation, you'll join a team of passionate people working together to improve lives and advance healthcare.

At McKesson, we believe we can empower healthcare. And it all starts with you.

Qualified applicants will not be disqualified from consideration for employment based upon criminal history.

McKesson is an equal opportunity and affirmative action employer - minorities/females/veterans/persons with disabilities.


Primary Location: United States-Georgia-Atlanta
Job: Research and Development
Organization: McKesson Rx Tech Solutions
Schedule: Regular
Shift: Standard
Job Type: Full-time
 Day Job
Job Posting: Jul 9, 2018"
"2","Flight Safety Data Analysis Fall Co-Op","delta air lines","Responsibilities include duties to support Flight Operational Quality Assurance (FOQA), Aviation Safety Action Program (ASAP) and Investigations. The data collected supports Delta's Safety Management System (SMS) which is a cornerstone of Delta's pro-active accident and incident prevention system. This position will gain exposure to the entire flight safety process at a major air carrier including exposure to the entire investigative process. The successful candidate will be responsible for collecting factual data, such as damage data, injury information, meteorological conditions, crew background, human performance data, flight recorder data, and other relevant investigative data. This position will also work with FOQA and ASAP reports to track, trend and resolve aviation hazards.

Core Responsibilities:
Organize and integrate disparate datasets
Develop and test hypotheses through iterative analysis
Create clear summaries of results
Textual analysis into quantitative analysis
Implement the applicable Machine Learning or statistics-based algorithm for prediction and training

Applicants must be in a degree seeking program, highly motivated, have strong communication skills, the desire to learn, and possess a current passport. The following are preferred qualifications: Experience using technology to work with datasets such as scripting, python, R, SQL."
"3","Senior Cyber Security Data Scientist","bank of america","Job Description:

We are looking for a senior data scientist to form the core of our Applied Data Science team within the Emerging Threat Analytics &amp; Disruption team for the Global Information Security (GIS) Cyber Security Defense (CSD) organization.

This role will involve working directly with security operators and leaders throughout GIS to develop solutions to complex predictive analytic problems involving diverse input data sources including real-time data. This person will be expected to work alongside a team of MapR, Hadoop, and Splunk engineers to develop theories using security data, analyze the requirements of our stakeholders and provide expertise in a fairly complex technical environment.

The ideal candidates should be comfortable during technical demonstrations and be able to discuss the specifics of machine learning algorithms and preprocessing methods. The candidate will be supporting our tactical hunt team functions by providing expertise in exploratory data analysis, pattern discovery and advanced analytical techniques (e.g. neural networks, deep learning) to anticipate or detect undiscovered threats.

The overall role will support strategic cyber risk analysis discussions through repeatable, data-driven, quantitative methods using all available data sources. We need candidates who can identify data gaps and help drive data strategy within GIS CSD.

Success for this role will be achieved by identifying previously undiscovered intrusions or by improving the bank＊s security posture or the measurement thereof. The goal is to create new strategic and tactical value from security-relevant data through the dedicated exploration, analysis and investigation of that data using leading edge analytic technologies and techniques.

Enterprise Role Overview:

Senior contributor, with accountability for researching, designing, and engineering information security (authentication, perimeter security, security &amp; compliance tools, etc.) &amp; directory technology systems (software &amp; hardware) and security policies / procedures. Utilizes in-depth technical / project knowledge and business requirements to design secure solutions to meet customer / client needs while protecting the Bank's assets. Serves as organization spokesperson on specialized projects. Acts as a prime consultant on large projects that affect the organizations long-term goals and objectives. Exercises independent judgment in methods, techniques, and evaluation criteria for obtaining results. Provides direction and guidance to others in the group. Works under minimal supervision, with general guidance from Technical or Senior Technical Manager.

REQUIRED SKILLS5+ years of real world business experienceEducational background in Mathematics, Statistics, Computer Science, Information Science or EngineeringExcellent organizational, writing and interpersonal skillsExperience with programming languages such as Java, Python, Perl or C++Understanding of the Hadoop platform (e.g. MapReduce, Hive, Impala, Spark, Flume, Kafka) and related Big Data technologiesKnowledge of R or SASFluency with SQL on one or more relational databases such as Microsoft SQL Server, MySQL, Postgres or Oracle

Shift:
1st shift (United States of America)

Hours Per Week:
40"
"4","Technical Evangelist 每 Database, Analytics, and Machine Learning","amazon.com","Job Description
Do you love data? Do you like getting people excited about the possibilities of using database, analytics, and machine learning services in the cloud? This may be your dream job.

The Database, Analytics, and Machine Learning (DBS) Technial Evangelist will join an experienced and energetic team that is responsible for developing, supporting, and bringing DBS services to a global audience. In this role, you will combine your passion and enthusiasm with your creativity to generate grass-roots attention and support for AWS among key industry opinion makers and technologists.

AWS DBS Services covers a range of services including Amazon Aurora, RDS, DynamoDB, Redshift, ElastiCache, Neptune, Elasticsearch, EMR, Athena, SageMaker, AWS Database Migration Service, Glue, Rekognition, Lex, Polly, Comprehend, Transcribe, and more. As new services and features are added, our customers need help understanding how they can get the most value.

Ideally, you have hands-on experience using AWS (or can learn quickly) and have excellent communication skills to share your knowledge with a diverse audience of customers, from developers to technology executives. You have immediate credibility with developers at all levels, from students to CIOs. You love to share your passion with others and exhibit good judgment in selecting strategic opportunities to do so. You don＊t just want to be part of an industry movement; you want to be out front leading it.

Your responsibilities will include:
Gaining industry recognition and credibility as a regular attendee, panelist and keynote speaker at AWS and technology conferences, trade shows and press events
Creating and delivering compelling presentations, product demos, sample solutions, and discussions to drive adoption of Amazon Web Services
Continuing to identify leads for potential partnerships and clients and assisting with presales support
Working with Startup companies &amp; Incubators as well as Developer community to convince them to develop on the AWS platform
Collaborating with internal teams to define the product road map, market positioning, and developer program initiatives
Work with your worldwide counterparts to share best practices and help build a best-in-the-industry evangelism organization.
Creating compelling content to help others in the AWS community spread the messages about DBS services
Utilize social networks and other online communications in a creative, meaningful way to reach a large audience of users and build the AWS community.
Basic Qualifications
10+ years＊ experience working in a technology evangelist or technical executive role.
Strong knowledge and experience with cloud computing infrastructure, application development platforms and popular programming languages.
A willingness to travel and ability to work autonomously.
Superior oral and written communication skills with the ability to influence others internally and externally
Ability to deliver initiatives from conception through completion
Attention to details and a proactive self-starter
Ability to meet tight deadlines and prioritize workloads
Ability to make important decisions quickly, and adjust planning and communications when needed
Preferred Qualifications
A history of successful speaking engagements and industry influence
Ability to develop new ideas and creative solutions"
"5","Lead R & D Engineer/Scientist","honeywell","Driving Infinite Possibilities Within A Diversified, Global Organization
Are you interested in a job with the freedom to experiment and explore possibilities in big data?
Do you have a passion to architect information delivery solutions that are robust on a massive scale?
At Honeywell we are excited about the potential in big data and looking for a few bright minds to use cutting edge tools to drive innovation. This is a challenging opportunity for you to apply state-of-the-art, big-data techniques within a global organization with a history of success.

As a key member of our Data Science team in Architecture and Innovation, you will be part of Honeywell＊s global organization supporting a wide variety of businesses, in a role that is critically important to Honeywell product innovation. You'll be working with the latest tools and technologies to create innovative solutions to hard problems. You will be part of an interdisciplinary team of designers and developers that work in an iterative environment, adapting to constantly evolving requirements, and working in 6-week sprints to build upon past work and innovate. You will be responsible for helping to scale solutions to support millions of events per second and historical repositories of many terabytes, ensuring the best possible performance.

As key member of this team, you will be responsible to:

Collaborate with Honeywell internal business partners to define, design and develop applications that customers value.
Leverage tools, processes and procedures allowing an organization to collect, enrich, and manage very large data sets, and create sustainable solutions and architectures.
Creatively apply approaches for information modeling and management, such as, industry standards, taxonomies, and ontologies to make well-contextualized data readily accessible for analysis.
Leverage experience with new and traditional methods of data access and appropriate abstraction layers and APIs to support rapid application development across multiple business domains.
As a talented and innovative member of our team, you have:

A keen desire to work with domain experts to identify critical information and connections.
An ability to discern the approaches likely to have the most measurable benefit to our products from the many possible solutions and work closely with others to execute them.
Desireto work in a dynamic, research-oriented group with several ongoing concurrent projects.
Skill to identify and solve process challenges through simulation of scenarios, analysis of performance metrics and advanced optimization techniques.
Flexibility to adapt to rapidly changing technology and apply it to business needs.
Strong analytical and conceptual skills and the ability to create original concepts on projects.
Experience to provide analysts and solution developers with data APIs using appropriate abstractions.
Effective communication skills, including the ability to translate and present findings.
Confidence to champion effective techniques through product development, and persuade significant stakeholders.
20 Innovation

20 Standardization

20 Technical reporting

20 Product assurance

20 Technology design


YOU MUST HAVE
Bachelors or Masters of Science degree in computer science, software engineering, or
other relevant science degree, with a focus on data science, natural language processing, deep learning, or artificial intelligence..
WE VALUE
Masters or PhD in Computer Science, with a focus on Artificial Intelligence
Experience in data modeling, ontology or domain library development 每 physical and logical
data models. Or equivalent experience in crafting domain-specific APIs.
Knowledge of modern cloud-scale methods and tools and scripting/programming languages for
data ingestion, data preparation, and data analysis.
Experience with more than one programming or scripting language (e.g. Python, R Java, .Net)
for fast prototyping and significant knowledge of core library and common design patterns.
Direct application development experience exercising one or more of the following tools or methodologies:

Experience working with ontologies using Prot谷g谷, Top Braid, SPARQL, SHACL, Jena, Fuseki,
Stardog, or other triple stores and tools.
Experience using inference/ reasoning on semantic models.
Experience building domain-agnostic, model-driven software.
JSON-LD
RDF and RDFS
Building Information Modeling
Exempt How Honeywell is Connecting the World
INCLUDES
1st Shift
Continued Professional Development

ADDITIONAL INFORMATION
Job ID: HRD34682
Category: Technology R&amp;D
Location: 715 Peachtree Street, N.E., Atlanta, GA 30308 USA
Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status."
"6","Quantitative Finance Analyst","bank of america","Job Description:

We are seeking a Quantitative Finance Analyst to join the Global Risk Analytics team. This role will form part of the Model Standards and Oversight (MSO) function within GRA.

The successful candidate will extend the coverage of quantitative control execution, affording the development of a more expansive range of controls. He/She will improve the overall quality, timeliness and effectiveness of the quantitative oversight function.

The role presents an opportunity to engage in GRA＊s broad range of activities and demands a highly varied skillset, including quantitative, analytical, organizational, communication and technology capabilities.

Two or more years of industry experience working in a model audit or model governance focused role within a bank are desirable.

Key tasks include the following:
Execute existing strategic controls initiatives and support the evolution of the GRA quantitative controls framework
Roll out new oversight procedures covering model development, technical implementation, data management and model execution
Identify key risk and performance indicators
Improve oversight and management information systems
Support and oversee the model development lifecycle, including management of the model inventory, ownership and retirement processes, periodic attestations and peer review processes
Seek opportunities to automate and simplify the quantitative controls framework, standardize management reporting and support alignment across sub-groups and central teams
Understand the wider control environment and second and third lines of defense to improve overall efficiency, adhere to best practices and remove process duplication
Provide business coverage and continuity of GRA＊s quantitative control framework
Key Competencies:
Builds Organizational Alignment
Leverages Technology
Drives Operational Excellence
Demonstrates Analytical Ability
Requirements:
3 or more years of industry experience working in a model audit or model governance focused role within a Bank
Experience in managing model audit issues or executing controls of analytics development and delivery
Must have an understanding of modeling, data and technical challenges in sufficient detail to engage in dialogue with model development teams and technical partners
Must have a quantitative, analytical, organizational, communication and technology capabilities
Ability to multitask and deliver to tight deadlines
Excellent verbal and written communication skills
Desirable Skills
Ability to apply Excel, VBA, LaTeX and SDLC tools such as JIRA

Shift:
1st shift (United States of America)

Hours Per Week:
40"
"7","Business Intelligence Engineer","amazon.com","Job Description
Amazon Transportation Services (ATS) Line Haul is looking for a talented Business Intelligence Engineer who will own analytics and develop solutions to drive insights and optimization for Network Planning and Forecasting. As a member of this team, you will have an opportunity to be a thought leader in Amazon Logistics and work with a group of talented program managers, product managers, research scientists, software developers, and business leaders to design the Amazon network of the future.

This position requires superior analytical thinking, ability to quickly approach large ambiguous problems and apply analytics, technical and engineering expertise to rapidly analyze, validate, visualize, prototype and deliver solutions. This position also requires significant cross functional work and integration with transportation, tech, operations and finance. Successful candidates must thrive in a fast-paced environment

As you further your career as a Business Intelligence Engineer at Amazon, you will focus on improving corporate reporting frameworks and data visualization. You will analyze performance data, discover and solve real world problems and build metrics and business cases to improve decision making. We are focused on your success and want to build strong leaders within Amazon Transportation Services. You can expect to leverage your analytical skills and have full ownership of the projects you work on.

Responsibilities:
Perform complex data analysis to identify opportunities to reduce fulfillment costs as well as improve efficiencies and customer experienceDesign, develop and establish KPIs to monitor analysis and provide strategic insights to drive growth and performanceDesign, develop and establish KPIs to monitor analysis and provide strategic insights to drive growth and performanceAbility to perform/own reoccurring and ad-hoc business intelligence projectsDevelop standardized metrics to evaluate and benchmark pertaining to short and long term network planning and forecastingCommunicate complex analysis and insights to stakeholders and business leaders, both verbally and in writing
Basic Qualifications
Bachelor＊s degree in a quantitative field such as mathematics, statistics, or related fieldExpert in MS ExcelExperience in scripting for automation in RExperience working in SQLExperience in generating Tableau reports
Excellent communication skills

Amazon is an Equal Opportunity-Affirmative Action Employer 每 Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.
Preferred Qualifications


Amazon is an Equal Opportunity-Affirmative Action Employer 每 Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
"8","Quantitative Finance Analyst/C++ Developer","bank of america","Job Description:

Bank of America is looking for a highly skilled C++ developer to join the Consumer Retail Analytics team in the Global Risk Analytics organization. The team produces, supports and runs econometric models for mortgages, credit cards, vehicle loans and deposit overdrafts. These models are used for stress testing, valuation, risk management, capital and liquidity planning, underwriting and other strategic or day-to-day decision-making purposes.

The work is fast-paced and intellectually challenging, and the team has frequent interactions with senior bank management and regulatory agencies to continuously improve our models and adapt to changing market and regulatory needs.

Candidates need not have previous finance experience but will be expected to quickly develop acumen and intuition for financial risk models. Candidates will build their advanced programming skills and work with staff in Corporate Investments, Balance Sheet Management, Model Risk Management and internal/external audit.

Responsibilities include:Designing and implementing flexible, maintainable, correct and efficient C++ codeStudying and understanding technical model documents from team of statisticiansUpdating C++ and configuration files to match new/updated credit/prepayment/cash flow modelsTesting and debugging code to ensure correctness over wide range of inputsReviewing, refactoring and optimizing existing codeParticipating in peer code reviews and collaborative development with other developers and quantitative finance analystsSupporting model users and assisting in development of production processes

Required Skills:Degree in a technical field (Finance, Math, Engineering, Physics, Computer Science)3 years professional experience writing maintainable and efficient C++Strong mathematical skills, including statistics, calculus and linear algebraStrong mathematical/quantitative skills, including statistics, calculus and linear algebraExtensive experience with object oriented design, STL and templatesStrong attention to detailUnit/regression testingAbility to visualize and manipulate data using ExcelGood verbal/written communication skillsWillingness to learn and share knowledgeComfort in working in a team environmentBasic scripting skills (Python/Perl/Lua/Bash etc)

Desired Skills:Postgraduate degree in a technical fieldModern C++ (C++11, Boost) experienceExperience with statistical software (SAS, R, etc)Source control experience (SVN/Perforce/Git preferred)Experience in competing risk models, financial theory, economics, derivatives pricing, stochastic calculus or machine learning.Experience of Monte Carlo SimulationExperience with parallel/cluster computing (using Spark, Hadoop, MapReduce, SLURM, Hive etc)Experience working with very large data setsExperience with performance optimization and profilers (gprof, VTune etc)Ability to multitask and properly prioritize multiple projectsComfort working in the Linux/Unix command lineWorking knowledge of database software and reporting tools, such as SQL, Tableau, Hive etc

Shift:
1st shift (United States of America)

Hours Per Week:
40"
"9","Associate Product Designer","ibm","Job Description
ASSOCIATE PRODUCT DESIGNER

Position Summary
We＊re looking for a Assoc. Product Designer to join our talented design team.

Does the thought of creating the next generation products for The Weather Channel＊s 250 million users get you excited? Do you think weather is so much more than just a conversation starter? Do you have the curiosity of a scientist and the passion of an artist, and are you a creative problem solver, a craftsman, a delight to work with?

If this sounds like you, then read on!

As an Associate Product Designer, you＊ll contribute to every aspect of the product creation process, from brainstorming the next great innovation to tweaking pixels before launch (and beyond). You＊ll utilize and grow your ux design, interaction design, and visual design skills, and you＊ll collaborate with other smart folks on the evolution of our flagship native apps.

Your day-to-day is never the same: Fast paced, often fun and never boring.

What you＊ll do:

Discovery
Under the guidance of a lead designer you will:
Actively participate in design discovery activities to help define products and featuresTake a supportive role in design thinking workshops and help with user requirement gathering
Design
Under the guidance of a lead designer you will:
Sketch and prototype to quickly iterate on ideasExecute high/low fidelity wireframes and user flows that promote ease of useDevelop interaction models and UI details that optimize the user experienceWork with user research and product managers on user testingDesign visually arresting interfaces and visualizations that push past the obvious and delight our fans around the globeChampion TWC brand and work with other designers to own, uphold and document UI kits and design style guides to achieve consistency across our properties.Prioritize work effectively and collaborate with product managers, developers, research and designers as needed

Required Technical and Professional Expertise

1 year+ product or agency experience as Product Designer, Interaction Designer, UX/UI Designer or a related field. We will consider candidates from portfolio schools and graduate programs.Experience / passion for native apps (iOS/Android)Strong design aesthetic and the ability to generate ideasUnderstand the theories of design thinking and lean ux to solve problemsWorking knowledge of design and prototyping tools such as Sketch, inVision, Adobe creative suite, Principle.Understanding of user research and usability testing methods a plusUnderstanding of the latest app development technologiesExperience and passion for data visualization, maps and Infographics a plus.Knowledge of some front end coding a big plus.Killer portfolio that proves you＊re making something you love (school work is ok)

Preferred Tech and Prof Experience

Desire to make the best products in the industry hands-downInfectious curiosity 〞 always looking for opportunities to learn new thingsSelf-Motivation, an open mind and a sense of humorGood communication skills 每 Candid, honest and above all thoughtful and kind
Still sounds like you? If so we＊d LOVE to hear from you!

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"10","R&D Innovation Engineer - Video Analytics/Machine Learning","honeywell","Join a team recognized for leadership, innovation and diversity
We are seeking a R&amp;D Innovation Engineer - Video Analytics/Machine Learning for our Atlanta, GA location.
We are at a pivotal time of the IoT and data revolution. The world is becoming more connected and objects and people are emanating more data. At Honeywell, our cyber-physical systems blend physical products seamlessly with computation to make connected products. Our products and technologies are installed in more than 10 million buildings worldwide. They help owners and occupants stay safe, comfortable, and the facilities sustainable. We are a business fueled by technology innovation and we are a leader in a variety of high growth markets, including connected buildings, energy efficiency, and security technologies. Honeywell＊s portfolio of software and controls for building and industrial automation provides the backbone to the Internet of Things.
We are seeking technology innovators and systems thinkers, makers and hackers who can re-imagine what we already do, what we could be doing next and have the in-depth technical expertise and hands-on experience to make it happen. You will be part of Honeywell Building Technologies (HBT) Platform Architecture and Innovation group supporting all HBT businesses and critically important to Honeywell product innovation. HBT is a $5 billion Strategic Business Group within Honeywell International that helps building owners stay connected and in control of comfort, security, fire systems, and air and water purification.
You will contribute specifically to a team that will design and prototype novel video analysis applications, and apply machine learning techniques to intelligently extract relevant information and understanding from video data streams. This information will be used for real-world applications in areas such as security, public safety or retail. If you are excited and intrigued, please connect with us.
YOU WILL:
 Work in a startup-type environment to define, design and develop innovative applications and functional proofs-of-concept
 Develop cutting-edge technology solutions in the connected home and building space that will leverage the existing eco-systems of HBT products
 Keep current with technology trends, relevant academic research, and software skills and tools and disseminate amongst peers and team members
 Work with marketing, user experience and IT teams to transition proof-of-concept to product offering
 Have a sense of strong self-direction, experience working in distributed teams and good communication skills
 10% travel with the opportunity for worldwide travel

40 Machine Learning

40 Computer Vision

20 Imaging



YOU MUST HAVE:
 Bachelor＊s degree in Engineering, Computer Science or related scientific and technical disciplines such as Cyber or Security required
 Minimum 3+ years＊ experience in machine learning or deep learning and its applications to video analytics required
 Minimum 3+ years＊ experience building computer vision solutions with tools such as TensorFlow, Torch, Theano, or MXNet.
WE VALUE:
 Master/Ph.D in Engineering or Science highly preferred
 Practical experience with GPU-based acceleration using OpenGL or CUDA/CuDNN or TensorRT
 Knowledge of deep learning algorithms and workflows, including deployment on edge devices
 Experience and fluency in programming and scripting languages (Python, Java, C, C++)
 Experience in software development and quick prototyping
Exempt How Honeywell is Connecting the World
INCLUDES
Continued Professional Development
1st Shift
Some Travel Required
ADDITIONAL INFORMATION
Job ID: HRD35000
Category: Engineering
Location: 715 Peachtree Street, N.E., Atlanta, GA 30308 USA
Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status."
